minpblz;Daily Minimum PBL Height;atmosphere_boundary_layer_thickness;;[['CCMI1_daily']]
ssi;Sea Ice Salinity;sea_ice_salinity;"When computing the time-mean here, the time-samples, weighted by the mass of sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as """"missing"""" in regions free of sea ice.";[['CMIP5_OImon']]
cbrf3brdn;Atmospheric Burden of Halon 1301;atmosphere_moles_of_halon1301;total yearly average burden;[['CCMI1_annual']]
cVeg;Carbon Mass in Vegetation;vegetation_carbon_content;unset;[['CMIP5_Lmon', 'SPECS_Lmon']]
mmrdust;Dust Aerosol Mass Mixing Ratio;mass_fraction_of_dust_dry_aerosol_in_air;;[['CCMI1_monthly']]
pso;Sea Water Pressure at Sea Water Surface;sea_water_pressure_at_sea_water_surface;unset;[['CMIP5_Omon']]
rlutcs4co2;TOA Outgoing Clear-Sky Longwave Radiation 4XCO2 Atmosphere;toa_outgoing_longwave_flux_assuming_clear_sky;unset;[['CMIP5_cfMon']]
wetso2;Wet Deposition Rate of SO2;tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition;unset;[['CMIP5_aero']]
difvmto;Ocean Vertical Momentum Diffusivity due to Tides;ocean_vertical_momentum_diffusivity_due_to_tides;unset;[['CMIP5_Oclim']]
rlus;Surface Upwelling Longwave Radiation;surface_upwelling_longwave_flux_in_air;unset;[['CMIP5_Amon', 'CMIP5_cf3hr', 'CMIP5_cfDay', 'CMIP5_cfSites', 'CMIP5_day', 'CORDEX_3h', 'CORDEX_day', 'CORDEX_mon', 'CORDEX_sem', 'SPECS_day']]
mmraernh4;NH4 Mass Mixing Ratio;mass_fraction_of_ammonium_dry_aerosol_in_air;;[['CCMI1_monthly']]
cRoot;Carbon Mass in Roots;root_carbon_content;including fine and coarse roots.;[['CMIP5_Lmon', 'SPECS_Lmon']]
drypoa;Dry Deposition Rate of Dry Aerosol Primary Organic Matter;tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition;unset;[['CMIP5_aero']]
diftrebo2d;Ocean Tracer Epineutral Biharmonic Diffusivity;ocean_tracer_epineutral_biharmonic_diffusivity;unset;[['CMIP5_Oclim']]
phyc;Phytoplankton Carbon Concentration at Surface;mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water;"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., """"Diatom Carbon Concentration"""" and """"Non-Diatom Phytoplankton Carbon Concentration""""";[['CMIP5_Omon', 'CMIP5_Oyr']]
zg200;Geopotential Height;geopotential_height;unset;[['CORDEX_6h', 'CORDEX_day', 'CORDEX_mon', 'CORDEX_sem']]
ccmi_day;CCMI Day;unset;These are what each model believes the date/time (Gregorian calendar) to be at the middle of each time interval in the output (GMT, not local time).;[['CCMI1_annual', 'CCMI1_daily', 'CCMI1_hourly', 'CCMI1_monthly']]
mlotst;Ocean Mixed Layer Thickness Defined by Sigma T;ocean_mixed_layer_thickness_defined_by_sigma_t;unset;[['CMIP5_Omon']]
clisccp;ISCCP Cloud Area Fraction;cloud_area_fraction_in_atmosphere_layer;unset;[['CMIP5_cfDay']]
